id,url,title,description,price,images,image_count,scraped_at
books_c9acce1992,https://www.olx.in/item/books-c453-11th-jee-neet-phoenix-in-bhakti-nagar-rajkot-iid-1828726032,11th jee / neet phoenix,11th jee / neet phoenix all (3 module) - Books,620,"[""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/8.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/9.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/10.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/11.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/12.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/13.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_c9acce1992/14.jpg""]",14,2025-12-09 04:36:38.426537
books_1516e35d4c,https://www.olx.in/item/books-c453-fiitjee-rsm-study-material-modules-workbook-gmp-pyqs-iit-jee-in-moti-nagar-hyderabad-iid-1828729750,FIITJEE RSM Study Material (Modules + Workbook + GMP + PYQs) - IIT JEE,"Selling a complete set of premium IIT JEE preparation books in excellent condition *** Highlights: * Comprehensive Study Material (Physics/Chemistry/Maths) * Chapter-wise Practice Tests and Phase Tests * Miscellaneous Booklets of Problems with Hints & Solutions * Review Package * Archive of previous years JEE Papers (Main & Advanced) with solutions * Ideal for serious JEE aspirants *** MRP: ₹34,800/- *** Selling at: ₹ 10000 (Negotiable) - Books",10000,"[""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1516e35d4c/8.jpg""]",8,2025-12-09 04:36:44.664841
books_8751a484db,https://www.olx.in/item/books-c453-law-books-sale-purchase-old-law-books-sets-indian-and-foreign-in-ito-delhi-iid-1702881844,"Law books Sale purchase, old law books set’s , Indian, and foreign",Foreign Book Indian books also ( price according books order) - Books,15000,"[""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_8751a484db/8.jpg""]",8,2025-12-09 04:36:57.360340
books_fc4cdabb0d,https://www.olx.in/item/books-c453-new-simplified-physics-in-bijwasan-delhi-iid-1828729726,New simplified PHYSICS,Book for class 12th student - Books,250,"[""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_fc4cdabb0d/8.jpg""]",8,2025-12-09 04:38:25.964072
books_1a619b70ea,https://www.olx.in/item/books-c453-tokyo-ghoul-re-vol-1-6-in-alapakkam-chennai-iid-1828729935,Tokyo Ghoul RE vol. 1-6,1k for the whole set 200 per volume Selling from Chennai - Books,1000,"[""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_1a619b70ea/8.jpg""]",8,2025-12-09 04:39:15.880287
books_accf99c5b3,https://www.olx.in/item/books-c453-why-bharat-matter-in-rangbari-kota-iid-1828731150,Why bharat matter,"Why bharat matter by S .Jaishankar , hardcover and English language - Books",320,"[""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_accf99c5b3/8.jpg""]",8,2025-12-09 04:40:47.327802
books_6785198a69,https://www.olx.in/item/books-c453-allen-modules-jee-in-sector-17-lucknow-iid-1828725894,Allen modules JEE,Allen JEE modules s - Books,2000,"[""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/8.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/9.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/10.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/11.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/12.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/13.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_6785198a69/14.jpg""]",14,2025-12-09 04:42:20.862775
books_3cbd7752b0,https://www.olx.in/item/books-c453-old-rare-comics-in-aalinchuvadu-tirur-iid-1821777354,Old rare comics,"All types of comics like Indrajal, Diamond, Laurel and Hardy, Richie Rich, Chandamamas, Tintin, Tinkles, Commando, Amar Chitra Katha, Vasan comics, Graphic Novels - Books",15000,"[""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_3cbd7752b0/8.jpg""]",8,2025-12-09 04:43:14.003181
books_e6a4e83ebb,https://www.olx.in/item/books-c453-twisted-series-in-nageshwar-colony-patna-iid-1828726195,Twisted series,This us twisted series written by ana huang a very famous novel written these books are very entertaining and romantic it will help you decrease your screen time and enhance your vocabulary - Books,1000,"[""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_e6a4e83ebb/8.jpg""]",8,2025-12-09 04:43:21.632881
books_d39b241eb6,https://www.olx.in/item/books-c453-8-books-for-sale-in-air-view-colony-bengaluru-iid-1827986537,8 Books For Sale,New / Almost New - Books,1620,"[""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/1.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/2.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/3.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/4.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/5.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/6.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/7.jpg"", ""/content/drive/MyDrive/olx_books_dataset/images/books_d39b241eb6/8.jpg""]",8,2025-12-09 04:43:29.639009
