id,url,title,description,price,images,image_count,scraped_at
car_8fa79e309c,https://www.olx.in/item/cars-c84-used-volkswagen-polo-gti-in-kirti-nagar-delhi-iid-1826551907,volkswagen polo gti (2017),"Color: Red
Insurance Type: Third Party
Make Month: June
Registration Place: DL",535000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/20.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/21.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_8fa79e309c/22.jpg""]",21,49:56.2
car_269c35a19a,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-kottayam-kerala-iid-1827913159,maruti suzuki swift (2011),"Excellent condition company service no work pending good mileage interior exterior very nice good mechanical condition 15"" Alloys touch screen reverse camera Secreting spoiler looking smart
ADDITIONAL VEHICLE INFORMATION:
ABS: Yes
Accidental: No
Adjustable External Mirror: Power
Adjustable Steering: Yes
Air Conditioning: With Heater
Number of Airbags: 2 airbags
Alloy Wheels: Yes
Anti Theft Device: Yes
Aux Compatibility: Yes
Battery Condition: New
Bluetooth: Yes
Vehicle Certified: Yes
Color: Red
Insurance Type: Third Party
Lock System: Remote Controlled Central
Make Month: November
Navigation System: Yes
Parking Sensors: Yes
Power steering: Yes
Power Windows: Front & rear
AM/FM Radio: Yes
Rear Parking Camera: Yes
Exchange: Yes
Finance: Yes
Service History: Available
Tyre Condition: New
USB Compatibility: Yes",265000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/3.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_269c35a19a/20.jpg""]",20,50:11.2
car_efafe76338,https://www.olx.in/item/cars-c84-used-renault-duster-in-jayanagar-bengaluru-iid-1827911829,renault duster (2017),"Make/Model - 2017
Variant - Duster Rxz 110ps
Transmission - Manual
Ownership - 1st owner
Fuel type  - Diesel
Driven - 68000
Insurance - Valid
Additional accessories, subwoofer and amplifier .
All services are done at the authorized service center.",725000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/3.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_efafe76338/20.jpg""]",20,50:29.0
car_d11b0f343d,https://www.olx.in/item/cars-c84-used-maruti-suzuki-dzire-in-sindhu-nagar-bhilwara-iid-1799424158,maruti suzuki dzire (2016),"Accidental: No
Vehicle Certified: Yes
Insurance Type: Comprehensive
Registration Place: RJ
Exchange: Yes
Finance: Yes",497000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/3.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/20.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/21.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/22.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_d11b0f343d/23.jpg""]",23,50:41.6
car_5caa3bdfda,https://www.olx.in/item/cars-c84-used-maruti-suzuki-dzire-in-manimala-kottayam-iid-1826033702,maruti suzuki dzire (2017),"ADDITIONAL VEHICLE INFORMATION:
Aux Compatibility: Yes
Bluetooth: Yes
Color: White
Insurance Type: Comprehensive
Make Month: August
Power steering: Yes
AM/FM Radio: Yes
Registration Place: KL
Exchange: Yes
Finance: Yes
USB Compatibility: Yes",435000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/3.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_5caa3bdfda/20.jpg""]",20,50:57.1
car_0d8d044ec6,https://www.olx.in/item/cars-c84-used-tata-punch-ev-in-rasulgarh-bhubaneshwar-iid-1824283283,tata punch ev (2024),"TATA PUNCH ELECTRIC- SMART PLUS MODEL FOR SALE..
?
?Well maintained Doctor Vehicle.
?Single handed driven.
?Purchased in July 2024. Kms done - 40000 kms as running on daily basis for official duty work.
?
?
?Vehicle specifications:
?Color- Pristine White
?Kms Done- 40000
?Purchase Year- July 2024
Battery - Medium Range - 24kw
?Range- Tata claimed-300
?Real time range - 200-220 kms upon normal driving in regen 2 mode.
?Airbags- 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)
?Original Harman music system- factory fitted.
?
?Full service history available with all the bills and also on TATA CONNECT official application. (Last serviced at 37500 kms)
?Warranty till 160000 kms as per Tata or 8 years whichever is earlier.
?All service done on exact kms and timing as per Tata electric rules.
IDV in Insurance Policy is of 10 lacs.
?
?
?Insurance done in July 2025 hence no insurance until another 10 months.
?Not a single outside fitment/accessory has been added in the vehicle as Electric vehicle.
?
?Loan taken for purchase of the vehicle.
?
?CHOICE Number - vanity number vehicle -(OD-02 registration)
?
?UPI/NEFT/RTGS/Cash- small amount) acceptable.
?
?Please check pictures for further details.
?
?DEALERS/BROKERS- Kindly stay away as this car is meant to be sold to only END USER.
?
?No dealer/broker etc will be entertained at any cost.",1000000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/3.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_0d8d044ec6/20.jpg""]",20,51:11.0
car_6489904e5b,https://www.olx.in/item/cars-c84-used-honda-city-in-kirti-nagar-delhi-iid-1822725727,honda city (2013),"ADDITIONAL VEHICLE INFORMATION:
Color: Other
Insurance Type: Third Party
Make Month: May
Registration Place: HR",295000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/20.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/21.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_6489904e5b/22.jpg""]",21,51:24.4
car_79ac297963,https://www.olx.in/item/cars-c84-used-jeep-compass-in-ghodasar-ahmedabad-iid-1825866842,jeep compass (2020),"100% NON ACCIDENTAL AND BRAND NEW CAR, SINGLE OWNER CERTIFIED CAR, FULLY MAINTAIN CONDITION, FINANCE AVAILABLE IN LOW RATE OF INTEREST, GENUINE 52000 KM WITH COMPANY MAINTAIN SERVICE RECORDS.
ADDITIONAL VEHICLE INFORMATION:
ABS: Yes
Accidental: No
Adjustable External Mirror: Power
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Number of Airbags: 2 airbags
Alloy Wheels: Yes
Aux Compatibility: Yes
Battery Condition: New
Bluetooth: Yes
Vehicle Certified: Yes
Color: White
Cruise Control: Yes
Engine Capacity/Displacement (in Cc): 2000
Insurance Type: Comprehensive
Lock System: Remote Controlled Central
Make Month: February
Navigation System: Yes
Power steering: Yes
Power Windows: Front & rear
AM/FM Radio: Yes
Rear Parking Camera: Yes
Registration Place: GJ
Exchange: Yes
Finance: Yes
Service History: Available
Tyre Condition: New
USB Compatibility: Yes",925000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/3.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/20.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/21.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/22.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/23.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/24.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/25.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_79ac297963/26.jpg""]",26,51:36.7
car_ad900259ab,https://www.olx.in/item/cars-c84-used-maruti-suzuki-s-cross-in-kirti-nagar-delhi-iid-1825462784,maruti suzuki s-cross (2018),"ADDITIONAL VEHICLE INFORMATION:
Color: Blue
Insurance Type: Third Party
Make Month: July
Registration Place: DL",560000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/20.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/21.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_ad900259ab/22.jpg""]",21,51:51.3
car_c5df7db9ad,https://www.olx.in/item/cars-c84-used-bmw-x5-in-thrissur-kerala-iid-1825175686,bmw x5 (2016),"single owner fancy number(2727) msport kit with alloys well maintained excellent condition
ADDITIONAL VEHICLE INFORMATION:
ABS: Yes
Accidental: No
Adjustable External Mirror: Power
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Number of Airbags: 8 airbags
Alloy Wheels: Yes
Anti Theft Device: Yes
Aux Compatibility: Yes
Battery Condition: New
Bluetooth: Yes
Vehicle Certified: Yes
Color: White
Cruise Control: Yes
Engine Capacity/Displacement (in Cc): 3000
Insurance Type: Comprehensive
Lock System: Remote Controlled Central
Make Month: November
Navigation System: Yes
Parking Sensors: Yes
Power steering: Yes
Power Windows: Front & rear
AM/FM Radio: Yes
Rear Parking Camera: Yes
Registration Place: KL
Exchange: Yes
Finance: Yes
Service History: Available
Sunroof: Yes
Tyre Condition: New
USB Compatibility: Yes",3300000,"[""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/1.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/2.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/3.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/4.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/5.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/6.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/7.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/8.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/9.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/10.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/11.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/12.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/13.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/14.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/15.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/16.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/17.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/18.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/19.jpg"", ""/content/drive/MyDrive/olx_cars_dataset/images/car_c5df7db9ad/20.jpg""]",20,52:03.3
