id,url,title,description,price,images,image_count,scraped_at
flat_a71c7b6c13,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1165-sq-ft-in-nehru-nagar-yelahanka-iid-1828550650,Fully furnished 3bhk flat for sale,"Fully furnished house with wardrobes in all rooms, beds with storage, sofa, tv, washing machine, refrigerator, chimney, geysers in bathrooms, modular kitchen, aqua guard and fee other items. - For Sale: Houses & Apartments",9700000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a71c7b6c13/8.jpg""]",8,2025-12-07 05:42:39.652513
flat_a193ac62fe,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1800-sq-ft-in-hosur-bagalur-road-hosur-iid-1818470336,Price location villa Ready to move,Gated society clear documents and safety measurements Hntda approved All amenities available Best place for families Eco friendly - For Sale: Houses & Apartments,9800000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a193ac62fe/8.jpg""]",8,2025-12-07 05:42:46.974542
flat_6f22191b44,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-1100-sq-ft-in-tajpura-shak-market-padra-iid-1828551072,1BHK Flat at Prime Location Padra,"It's a Big and spacious flat with new colour and full furnished totaly new condition flat and nearest to vegetables market,shops, schools, Gym, park, hospitals all necessary availability.new colour and full furnished flat and it's very big flats lift and 24/7 water supply and all good. Now the flat is given on rent and the rent is 7000/- Monthly. Including all furniture and all items in attached photos, It is a good deal to crack - For Sale: Houses & Apartments",1800000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_6f22191b44/8.jpg""]",8,2025-12-07 05:43:36.395487
flat_1b474f0867,https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-houses-villas-3000-sq-ft-in-triveni-jaipur-iid-1821452701,Sumer nagar rajat path ka samana manshrover jaipur,Villa for sale 25×50=138 sqyard 30ft road east facing jda patta good lokeshan 5 bhk independent house car parking good lokeshan - For Sale: Houses & Apartments,20000000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_1b474f0867/8.jpg""]",8,2025-12-07 05:44:24.884009
flat_899e46aec4,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1350-sq-ft-in-peer-muchalla-zirakpur-iid-1822171774,3bhk newly constructed with store flat for sale in gated society,3bhk flat for sale Stillt parking Store Newly constructed flat Premium interior design Modular kitchen Ready to move Loan available Temple Double entry exit gated society Near to Shimla Kalka high way. Call for more details - For Sale: Houses & Apartments,5149000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_899e46aec4/8.jpg""]",8,2025-12-07 05:45:14.639527
flat_a6559b9799,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1150-sq-ft-in-gundlapochampalli-hyderabad-iid-1821309829,Primium flats for sale with HMDA and RERA aproved,"Primium 2 BHK Flat for sale . HMDA and RERA aproved having bank aprovals from ICICI BANK and HDFC BANK. with amenities like in gated communities , children play area, Gym, Walking track, comunity hall, electrical charging points for each parking , , UDS of 48 SQ.Yards and so on - For Sale: Houses & Apartments",5000000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_a6559b9799/8.jpg""]",8,2025-12-07 05:45:21.806830
flat_165048451b,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1650-sq-ft-in-hosur-bagalur-road-hosur-iid-1804680134,3bhk duplex villa with intrior for sale,Royal City Gated community Ready to occupy villa 3bhk duplex house - For Sale: Houses & Apartments,6700000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_165048451b/8.jpg""]",8,2025-12-07 05:46:12.561139
flat_ff99734bec,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-flats-apartments-1170-sq-ft-in-nagole-hyderabad-iid-1827030358,"2BHK Flats For Sale in Nagole, Hyderabad.","2BHK Flats For Sale in Nagole, Hyderabad. Direct Owner Sale - For Sale: Houses & Apartments",6089000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_ff99734bec/8.jpg""]",8,2025-12-07 05:47:00.686434
flat_240f524fb2,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1250-sq-ft-in-annur-coimbatore-iid-1826225145,2BHK 26 Lacs@Annur pasur nearby,Gated community Entrance arch Individual water connection DTCP REAR apparoed site 30 feet road Solar Street light Rain a speciality Near by school 90 % bank loan available - For Sale: Houses & Apartments,2600000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_240f524fb2/8.jpg""]",8,2025-12-07 05:49:14.648806
flat_b0a82b36d5,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-builder-floors-204-sq-ft-in-bommuru-rajahmundry-iid-1828550428,New Independent North West CORNER House For Sale,"New Independent EAST facing House for Sale. 150sq yards. Near by AMG Rajavolu Main Road. Price 47,00,000. New Independent NORTH WEST Corner House for Sale. TWO ROADS CORNER House with Premium sized Spacious Rooms and POOJA ROOM . Approved Layout with 205sq yards SQUARE Measurements and PARK infront of the House. Ready to occupy. Price 68Lakhs. Very Near by Highway, Main Road, Schools and Shops. - For Sale: Houses & Apartments",4700000,"[""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/1.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/2.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/3.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/4.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/5.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/6.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/7.jpg"", ""/content/drive/MyDrive/olx_flat_dataset/images/flat_b0a82b36d5/8.jpg""]",8,2025-12-07 05:50:45.767105
