id,url,title,description,price,images,image_count,scraped_at
games_55b8b64123,https://www.olx.in/item/games-entertainment-c93-ps-4-game-station-complete-set-for-sale-in-hosur-bagalur-road-hosur-iid-1828636068,PS 4 GAME STATION complete set for sale,"Well maintained , absolutely good conditioned PS4 GAME STATION with all the components for sale ( price negotiable) - Games & Entertainment",25000,"[""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_55b8b64123/8.jpg""]",8,2025-12-08 04:55:28.425616
games_cab5adf6cd,https://www.olx.in/item/games-entertainment-c93-great-gamers-wholesale-ps2ps3ps4xbox360-all-gaming-console-in-bhawani-nagar-meerut-iid-1616603784,"Great Gamers Wholesale Ps2,Ps3,Ps4,Xbox360 All Gaming console",WELCOME TO GREAT GEMERS PS2 32 GB WITH 20 + 1200 RETRO GAME ONLY 4750/- PS2 160GB WITH 70 + 1200 RETRO GAME ONLY 6999/- PS2 320GB WITH 150 + 1200 RETRO GAME 6999/- BIG PS2 160 GB WITH 55 GAME ONLY 7499/- PSP 16 GB WITH 20 GAME ONLY 4499/- BIG PS3 500 GB WITH 30 GAME ONLY 11999/- PS3 SLIM 500 GB WITH 30 GAME ONLY 12999/- PS3 SUPER SLIM 500 GB WITH 30 GAME ONLY 13999/- XBOX 360 FAT 160 GB WITH 30 GAME ONLY 8999/- XBOX 360 SLIM 500 GB WITH 100 GAME ONLY 13999/- WEBS!TE:- greatgamer. in NOTE - WE ARE NOT SELLING REPAIRED CONSOLE . thanks for trusting us - Games & Entertainment,12999,"[""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_cab5adf6cd/8.jpg""]",8,2025-12-08 04:56:57.229211
games_89370e3bda,https://www.olx.in/item/games-entertainment-c93-sony-ps4-slim-in-wadgaon-sheri-pune-iid-1828636841,Sony Ps4 slim,"This console is (jb) in pristine, like-new condition NEVER REPAIRED+SEALED . HUGE Performance Upgrade: Custom-installed 2B Fast Storage Massive Library Included: Comes pre-loaded/ with access to a collection of 30 fantastic games. What's Included (Ready to Play): Sony PS4 Slim Console (Pristine Condition) Upgraded 2TB Fast Storage PS4 Pro Original Controller -3 Motion controller Original-2 Power Cable PRICE IS FIRM & NON-NEGOTIABLE. Serious buyers only Availability: If this ad is visible, the item is STILL AVAILABLE, - Games & Entertainment",34000,"[""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_89370e3bda/8.jpg""]",8,2025-12-08 04:58:28.287268
games_dc52032aa6,https://www.olx.in/item/games-entertainment-c93-great-gamers-wholesale-ps2ps3ps4xbox360-all-gaming-console-in-murbad-road-ulhasnagar-iid-1616265430,"Great Gamers Wholesale Ps2,Ps3,Ps4,Xbox360 All Gaming console",WELCOME TO GREAT GEMERS PS2 32 GB WITH 20 + 1200 RETRO GAME ONLY 4750/- PS2 160GB WITH 70 + 1200 RETRO GAME ONLY 6999/- PS2 320GB WITH 150 + 1200 RETRO GAME 6999/- BIG PS2 160 GB WITH 55 GAME ONLY 7499/- PSP 16 GB WITH 20 GAME ONLY 4499/- BIG PS3 500 GB WITH 30 GAME ONLY 11999/- PS3 SLIM 500 GB WITH 30 GAME ONLY 12999/- PS3 SUPER SLIM 500 GB WITH 30 GAME ONLY 13999/- XBOX 360 FAT 160 GB WITH 30 GAME ONLY 8999/- XBOX 360 SLIM 500 GB WITH 100 GAME ONLY 13999/- WEBS!TE:- greatgamer. in NOTE - WE ARE NOT SELLING REPAIRED CONSOLE . thanks for trusting us - Games & Entertainment,4750,"[""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_dc52032aa6/8.jpg""]",8,2025-12-08 05:00:07.902950
games_56ba6f4389,https://www.olx.in/item/games-entertainment-c93-klipsch-the-three-2-speaker-with-remote-in-tapoban-rishikesh-iid-1828635756,Klipsch The Three 2 speaker with remote,Klipsch The Three 2 Speaker - Games & Entertainment,25000,"[""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_56ba6f4389/8.jpg""]",8,2025-12-08 05:00:59.009763
games_d77d87adb7,https://www.olx.in/item/games-entertainment-c93-ps4-pro-1tb-with-wired-controller-and-cod-3-slightly-negotiable-in-aquam-baxico-aquem-iid-1828393466,Ps4 pro 1TB With Wired controller And Cod 3  (slightly negotiable),Only serious buyers pls Don’t ask for silly questions it’s not repaired or open once it’s as good as new and low ballers stay away - Games & Entertainment,20000,"[""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_d77d87adb7/8.jpg""]",8,2025-12-08 05:01:06.719576
games_0dace16570,https://www.olx.in/item/games-entertainment-c93-metaquest-3-128gb-new-box-piec3-in-frazer-town-bengaluru-iid-1790422693,Metaquest 3 128gb New box piec3,Used and new all types of games available Ps4 used games starts from 500 each We also have ps5 games We also buy and exchange your old games Rey games Castle Jayanagar 4th block - Games & Entertainment,20000,"[""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/8.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/9.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_0dace16570/10.jpg""]",10,2025-12-08 05:02:38.359381
games_fe9805cd9e,https://www.olx.in/item/games-entertainment-c93-brand-new-nintendo-switch-2-in-harinavi-kolkata-iid-1828348237,Brand New Nintendo Switch 2,Brand new Nintendo Switch 2. (<2 months old.) With 1 year seller warranty. Glass protector. Flawless condition. ANYWHERE IN KOLKATA. Selling urgent. - Games & Entertainment,40000,"[""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_fe9805cd9e/8.jpg""]",8,2025-12-08 05:03:27.777859
games_84bb707a1b,https://www.olx.in/item/games-entertainment-c93-new-ant-esports-gp400-gamepad-in-mukhani-haldwani-iid-1828429989,New Ant Esports GP400 Gamepad,"Brand new never used gamepad, supports PS3/PS4 Android Windows, IOS, switch pro I bought it accidentally from blinkit at 2500. Actually I have PS5 and it supports only ps4 games. I haven’t opened the box till now. - Games & Entertainment",1800,"[""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_84bb707a1b/8.jpg""]",8,2025-12-08 05:03:37.801901
games_6321fad304,https://www.olx.in/item/games-entertainment-c93-ps-4-slim-1-tb-immaculate-condition-not-used-in-sri-venkateshwara-krupa-layout-bengaluru-iid-1828177234,PS 4 slim 1 tb immaculate condition not used,Play Station 4 slim 1 TB storage immaculate condition not used got as gift with box - Games & Entertainment,25000,"[""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/1.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/2.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/3.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/4.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/5.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/6.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/7.jpg"", ""/content/drive/MyDrive/olx_games_dataset/images/games_6321fad304/8.jpg""]",8,2025-12-08 05:03:44.061042
