id,url,title,description,price,images,image_count,scraped_at
laptop_3812b3306f,https://www.olx.in/item/computers-laptops-c1505-hp-laptop-sell-in-kirshi-nagar-karnal-iid-1832013469,HP laptop sell,"No scratches all good condition - Computers & Laptops in Kirshi Nagar, Karnal",15000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_3812b3306f/8.jpg""]",8,2026-01-13 17:33:22.900393
laptop_fd518d87fe,https://www.olx.in/item/computers-laptops-c1505-lenovo-laptop-good-condition-in-sector-11-noida-iid-1831461687,Lenovo laptop Good Condition,"Lenovo laptop good condition 500GB HDD 4Gb RAM WINDOWS 7 - Computers & Laptops in Sector 11, Noida",6000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_fd518d87fe/8.jpg""]",8,2026-01-13 17:34:14.880464
laptop_bdc7e6b1ef,https://www.olx.in/item/computers-laptops-c1505-good-condition-laptop-price-can-be-negotiated-if-needed-in-bank-colony-beawar-iid-1831466619,"Good condition Laptop , Price can be negotiated if needed","Dell Gaming Laptop - Computers & Laptops in Bank Colony, Beawar",7500,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bdc7e6b1ef/8.jpg""]",8,2026-01-13 17:34:21.460550
laptop_abd11a166e,https://www.olx.in/item/computers-laptops-c1505-computer-setup-in-vikas-mohalla-bareilly-iid-1831530552,Computer setup,"I am selling computer Desktop of enter CPU of intex UPS of microtex Keyboard of frontech Mouse of logitech G102 prodigy gaming mouse Computer is in very good condition and Desktop warranty of 1 year And CPU of window 10 RAM 2gb storage 4000 gb - Computers & Laptops in Vikas Mohalla, Bareilly",10000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_abd11a166e/8.jpg""]",8,2026-01-13 17:35:07.767111
laptop_d49db5af38,https://www.olx.in/item/computers-laptops-c1505-lenovo-laptop-in-sardar-nagar-ahmedabad-iid-1832013886,Lenovo laptop,"I want buy PC that reason I want sell - Computers & Laptops in Sardar Nagar, Ahmedabad",30000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_d49db5af38/8.jpg""]",8,2026-01-13 17:36:39.329424
laptop_b407d36cc4,https://www.olx.in/item/computers-laptops-c1505-refurbished-hp-elatebook-840-g6-in-ansal-plaza-gurgaon-iid-1832013755,Refurbished Hp Elatebook 840 G6,"Refurbished HP Elatebook 840G6 Laptop Processor-Core i5 8th Generation Ram-16GB DDR 4(Upgrade up to 32GB) SSD-256GB (Upgrade up to 1TB) Screen Size 14” With original Adapter 1 Month testing Warranty Rate-23000/-Tax Paid Address JBV infotech AKD Tower Shop No-13,Sector-14 Gurgaon Hr - Computers & Laptops in Ansal Plaza, Gurgaon",23000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_b407d36cc4/8.jpg""]",8,2026-01-13 17:38:52.978905
laptop_afe63771cf,https://www.olx.in/item/computers-laptops-c1505-macbook-pro-m1-in-bellandur-bengaluru-iid-1831461657,Macbook Pro M1,"Very good condition MacBook pro M1 Everything works good. Laptop charger available. Note : touchbar not working. Processor: M1 Ram : 8gb Storage: 256 gb Screen size : 13.3 inch - Computers & Laptops in Bellandur, Bengaluru",30000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_afe63771cf/8.jpg""]",8,2026-01-13 17:39:39.769263
laptop_428740ac52,https://www.olx.in/item/computers-laptops-c1505-kids-blaptop-in-ambegaon-pathar-pune-iid-1832013745,Kids blaptop,"New purchase with battery cell - Computers & Laptops in Ambegaon Pathar, Pune",850,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_428740ac52/8.jpg""]",8,2026-01-13 17:40:27.574698
laptop_5b6c04260d,https://www.olx.in/item/computers-laptops-c1505-lenovo-thinkpad-t480-i7-8th-16gb-ddr4-256gb-ssd-with-adaptor-in-vadasery-nagercoil-iid-1825896632,"Lenovo ThinkPad T480 i7 8th 16Gb DDR4, 256GB SSD. With adaptor","Lenovo ThinkPad at480 i7 8th 16gb ddr4 , 256gb SSD. With adapter ₹19,999 Lenovo T14 i5 10th Generation 16Gb DDR4 RAM 256Gb SSD . With Adapter ₹24,500 Lenovo T470 i7 7th 16gb 256gb ₹18,500 Lenovo T460 i7 6th 16gb 256gb ₹17,500 Lenovo T450 i7 5th 8gb 256gb ₹13,500 Lenovo T440 i7 4th 8gb 256gb ₹10,000 Location: Dharshi Systems & Services Chennai, Chennai and Nagercoil branch - Computers & Laptops in Vadasery, Nagercoil",19999,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_5b6c04260d/8.jpg""]",8,2026-01-13 17:41:15.712615
laptop_6b343d1fb4,https://www.olx.in/item/computers-laptops-c1505-laptop-hp-envy-x360-convertible-touch-screen-in-dhumaspur-86-gurgaon-iid-1831364882,LAPTOP HP ENVY X360 (Convertible /Touch Screen),"HP Envy x360 convertible 13-ay0xxx, 360 degrees foldable 500 GB storage, 8 GB RAM, 500 MB AMD(TM) RADEON Graphics Card, AMD RYZEN 5 4500 Processor, Genuine Windows 11 installed. Full Touch Screen + Original Charger. It is working in perfect condition. 0% damage. - Computers & Laptops in Dhumaspur 86, Gurgaon",55000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/8.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/9.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/10.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/11.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/12.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/13.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/14.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/15.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/16.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/17.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/18.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/19.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/20.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/21.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/22.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/23.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/24.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/25.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_6b343d1fb4/26.jpg""]",26,2026-01-13 17:41:26.123909
laptop_a59c4e193d,https://www.olx.in/item/computers-laptops-c1505-lenovo-thinkpad-p14s-i5-10th-gen-8gb-256gb-14-inch-best-quality-laptop-in-koramangala-bengaluru-iid-1832013286,Lenovo ThinkPad P14s i5-10th Gen 8GB 256GB 14 inch Best Quality Laptop,"iPro Technologies Bangalore Contact Us: ⑥③⑥③⑦②⑤⑤⑧⑤ Lenovo ThinkPad P14s G1 – i5 Workstation Laptop ️ Specifications: Model: Lenovo ThinkPad P14s Processor: Intel Core i5 10th Gen (10310U) Display: 14” Full HD Anti-Glare ️ RAM: 8GB DDR4 (Upgradeable) Storage: 256GB SSD (Fast Boot) Graphics: 2GB NVIDIA Quadro P520 Keyboard: Backlit Keyboard ⌨️ Webcam: HD Camera OS: Windows 11 Pro (Original) Price: 26,999/- Visit us for a firsthand experience: IPro Technologies HSR Layout, Bangalore. Opening Time: 10.30 am to 8:00 pm - Computers & Laptops in Koramangala, Bengaluru",26999,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_a59c4e193d/8.jpg""]",8,2026-01-13 17:42:15.378938
laptop_4b7bdbb480,https://www.olx.in/item/computers-laptops-c1505-lenovo-thinkpad-x1-yoga-core-i7-10th-gen-16gb-ram-256gb-ssd-360-degree-in-sola-village-ahmedabad-iid-1829095222,Lenovo ThinkPad X1 Yoga Core i7 10th gen 16GB RAM 256GB SSD 360 degree,"Lenovo ThinkPad X1 Yoga gen 5 with 4K touch display & pen Core i7 10th gen 16GB RAM 256GB SSD 14 360 degree 4K touch display Resolution 3840 × 2400 With Original pen Metal body Top condition & backup Original adapter - Computers & Laptops in Sola Village, Ahmedabad",37000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_4b7bdbb480/8.jpg""]",8,2026-01-13 17:43:03.307206
laptop_ca6ee6b865,https://www.olx.in/item/computers-laptops-c1505-asus-laptop-for-sale-in-rajpur-khurd-extension-delhi-iid-1831169297,Asus Laptop For Sale,"i3 7th Gen Asus vivobook laptop for sale with SSD. Excellent working condition with very good battery health with original charger and light weight device. Very little scope for negotiation so pls don't msg with random amount. Only interested buyers pls contact. - Computers & Laptops in Rajpur Khurd Extension, Delhi",8500,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_ca6ee6b865/8.jpg""]",8,2026-01-13 17:43:19.421535
laptop_559873ca37,https://www.olx.in/item/computers-laptops-c1505-new-finger-pc-in-bhagat-pura-sonipat-iid-1832013343,New finger PC,"Ram - 16 gb Rom - 512 gb SSD Windows 10 pro Prosser - AMD Ryzen 3 3200g with redeon vega graphics 3.60 GHZ New condition, 6 months old - Computers & Laptops in Bhagat Pura, Sonipat",21000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_559873ca37/8.jpg""]",8,2026-01-13 17:44:08.463841
laptop_bc3a8c221f,https://www.olx.in/item/computers-laptops-c1505-3-kva-and-2-kva-refurbished-online-ups-in-bank-colony-kakinada-iid-1782062567,3 kva and 2 kva refurbished online ups,"We have all types of UPS available for Hospitals, Flex Machines, Pathlabs, Printing Machines, Servers. There are many brands available like Hitachi, Emerson, Microtek, Luminous, BPE, ETN, Consul etc - Computers & Laptops in Bank Colony, Kakinada",5000,"[""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/1.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/2.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/3.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/4.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/5.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/6.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/7.jpg"", ""/content/drive/MyDrive/olx_laptop_dataset/images/laptop_bc3a8c221f/8.jpg""]",8,2026-01-13 17:48:34.894156
