id,url,title,description,price,images,image_count,scraped_at
mobile_1977031a0c,https://www.olx.in/item/mobile-phones-c1453-used-realme-in-bangare-nagar-dondaicha-warwade-iid-1831947669,Mujhe phone Sel karna hai,"Koi Lene wala hai kya - Mobile Phones in Bangare Nagar, Dondaicha Warwade",7500,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_1977031a0c/26.jpg""]",26,2026-01-13 05:37:24.660100
mobile_22fd4e5723,https://www.olx.in/item/mobile-phones-c1453-used-realme-in-pakki-sarai-muzaffarpur-iid-1831947581,P1 5g best condition,"Realme P1 5g 6 month old - Mobile Phones in Pakki Sarai, Muzaffarpur",10000,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_22fd4e5723/26.jpg""]",26,2026-01-13 05:37:34.799215
mobile_166bbb4281,https://www.olx.in/item/mobile-phones-c1453-used-oppo-in-virar-west-thane-iid-1831761439,Oppo Reno 11 Pro,"My Mobile phone - Oppo Reno 11 Pro (Some Display issue black spot in top) - Mobile Phones in Virar West, Thane",11000,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_166bbb4281/26.jpg""]",26,2026-01-13 05:37:45.960809
mobile_098895eb75,https://www.olx.in/item/mobile-phones-c1453-used-iphone-in-bedla-udaipur-iid-1831599770,Iphone 14 & iphone 12 pro max,"iPhone 14 128 gb 85% battery price 40000 iPhone 12 Pro Max 128gb 83% price 25000 - Mobile Phones in Bedla, Udaipur",40000,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_098895eb75/26.jpg""]",26,2026-01-13 05:37:56.170192
mobile_9242c0678b,https://www.olx.in/item/mobile-phones-c1453-used-iphone-in-bank-more-dhanbad-iid-1829202389,İPhone 13 pro max,"IPHONE 13PRO MAX STORAGE -256GB BATTERY-75% Bill BOX CABLE COVER SARA KUCH HAI PHONE SUPER CONDITION MAIN HAI NEW JASA SARA KUCH ORGINAL WORKING HAI - Mobile Phones in Bank More, Dhanbad",52500,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9242c0678b/26.jpg""]",26,2026-01-13 05:38:07.329176
mobile_9ba51301c9,https://www.olx.in/item/mobile-phones-c1453-used-oppo-in-mowancherry-iriveri-iid-1831947718,A11k Oppo മൊബൈല്‍ good,"good condition - Mobile Phones in Mowancherry, Iriveri",2800,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_9ba51301c9/26.jpg""]",26,2026-01-13 05:38:16.997792
mobile_10108bfddb,https://www.olx.in/item/mobile-phones-c1453-used-techno-in-sadar-bazar-bundi-iid-1831947607,Tecno camon 20 8 gb ram 256 storage,"combo change Fresh rate negotiatble - Mobile Phones in Sadar Bazar, Bundi",6000,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_10108bfddb/26.jpg""]",26,2026-01-13 05:38:28.865828
mobile_686c4643ef,https://www.olx.in/item/mobile-phones-c1453-used-nokia-in-tirurangadi-town-tirurangadi-iid-1829990068,NOKIA E63 3 COLOUR PER PIECE 2500,"NOKIA E63 5 PIECES AVAILABLE 3 COLOUR AVAILABLE ALL GOOD CONDITION NO CHARGER INCLUDED CHARGER AVAILABLE EXTRA CHARGE LOCATION THIRURANGADI MALAPPURAM DISTRICT KERALA STATE ALL INDIA DELIVERY AVAILABLE PER PIECE RATE :-2500 FIX RATE NEGLIGIBLE INTRESTED PEOPLE ONLY MSG ME - Mobile Phones in Tirurangadi Town, Tirurangadi",2500,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_686c4643ef/26.jpg""]",26,2026-01-13 05:38:40.402955
mobile_72d1ea2dce,https://www.olx.in/item/mobile-phones-c1453-used-motorola-in-gopalmath-durgapur-iid-1830880400,Motorola edge 50 pro 12/256 interested parsan dm me,"Motorola edge 50 pro 12/256 new model launch Full fresh mint condition only display white lining problem .. need Arjent sale money problem ..1 years phone And flipkart buy. Only for original bill new phone price 29999.00 - Mobile Phones in Gopalmath, Durgapur",15000,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_72d1ea2dce/26.jpg""]",26,2026-01-13 05:38:51.710939
mobile_6b013c3e16,https://www.olx.in/item/mobile-phones-c1453-used-mi-in-sisamau-kanpur-iid-1831072458,Redmi Note 9,"Redmi Note 9 6/128 Rear Mounted Fingerprint 48 MP pixel quad camera Bestest Camera 13 mp front camera 5020 Mah Very long battery Bill Box charger not available Fast Charging Best condition mobile Arjent Sell !! Original Mobile aaj tak open nhi hua hai - Mobile Phones in Sisamau, Kanpur",6000,"[""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/1.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/2.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/3.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/4.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/5.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/6.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/7.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/8.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/9.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/10.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/11.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/12.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/13.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/14.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/15.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/16.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/17.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/18.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/19.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/20.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/21.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/22.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/23.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/24.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/25.jpg"", ""/content/drive/MyDrive/olx_mobile_dataset/images/mobile_6b013c3e16/26.jpg""]",26,2026-01-13 05:39:02.659153
