id,url,title,description,price,images,image_count,scraped_at
phone_5c331ec788,https://www.olx.in/item/mobile-phones-c1453-used-honor-in-thane-west-thane-iid-1819961549,Selling my Honor Magic 6 pro,"Device name HONOR Magic6 Pro, 2nd Gen Silicon-Carbon Battery, 5600 mAh Discrete security chip, S1 Power enhanced chip HONOR E1 Processor Snapdragon 8 Gen 3 RAM 12 GB +12 GB HONOR RAM Turbo HONOR Eye Comfort Screen 2800 x 1280 RF enhanced chip HONOR C1+ 512 GB total 9.0.0.178(C185E14R2P2) GPU Turbo - Mobile Phones",62000,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_5c331ec788/8.jpg""]",8,2025-12-07 05:37:30.507689
phone_14527c730d,https://www.olx.in/item/mobile-phones-c1453-used-vivo-in-tilakwania-ghughuli-iid-1827127969,Good condition folder change,Good condition money problem vivo v23e 5g ram 8 128 - Mobile Phones,6000,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_14527c730d/8.jpg""]",8,2025-12-07 05:37:35.401133
phone_4d7fc0f494,https://www.olx.in/item/mobile-phones-c1453-used-vivo-in-baghnath-hata-iid-1827337221,Vivo t4 x 8/128/ram,Hata Rampura gonoriya - Mobile Phones,13500,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_4d7fc0f494/8.jpg""]",8,2025-12-07 05:37:42.893444
phone_e2caf792ca,https://www.olx.in/item/mobile-phones-c1453-used-realme-in-khanpura-patna-iid-1828550651,Realme  NARZO N55,Realme NARZO N55 Fulvari Sharif Patna Birla colony - Mobile Phones,5000,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_e2caf792ca/8.jpg""]",8,2025-12-07 05:38:29.991404
phone_bcba15969a,https://www.olx.in/item/mobile-phones-c1453-used-iphone-in-konark-nagar-nashik-iid-1828453213,iPhone 17 256GB,New Condition iPhone 17 256GB with Bill White colour - Mobile Phones,74999,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_bcba15969a/8.jpg""]",8,2025-12-07 05:39:18.302074
phone_d93e4eabf1,https://www.olx.in/item/mobile-phones-c1453-used-motorola-in-sector-15a-chandigarh-iid-1825862368,Egde 40 Neo motorola,Brand new condition 1 year old Bill box charger available - Mobile Phones,13999,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d93e4eabf1/8.jpg""]",8,2025-12-07 05:39:24.005868
phone_d8881df904,https://www.olx.in/item/mobile-phones-c1453-used-iphone-in-kannanalloor-kollam-iid-1828550497,IPHONE 16 PRO,IPHONE 16 PRO 128GB FULL BOX ZERO SCRATCH 100%. BATTERY HEALTH - Mobile Phones,80000,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_d8881df904/8.jpg""]",8,2025-12-07 05:40:13.030273
phone_09712757b3,https://www.olx.in/item/mobile-phones-c1453-used-iphone-in-gawarala-rith-chandrapur-cggc-iid-1828550657,Good condition no scratches,I phone 11 - Mobile Phones,14000,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_09712757b3/8.jpg""]",8,2025-12-07 05:40:20.863132
phone_9f52facbc2,https://www.olx.in/item/mobile-phones-c1453-used-nokia-in-perambur-chennai-iid-1828550639,Nokia 1190 dual sim,Nokia 1190 dual Sim mobile is well condition any interested call me - Mobile Phones,500,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_9f52facbc2/8.jpg""]",8,2025-12-07 05:40:27.627783
phone_a5a07b42e2,https://www.olx.in/item/mobile-phones-c1453-used-iphone-in-abadi-rajgirihar-kannauj-iid-1828550584,I phone 7  chalu condition,I phone 7 chalu condition of the day of the day - Mobile Phones,4500,"[""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/1.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/2.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/3.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/4.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/5.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/6.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/7.jpg"", ""/content/drive/MyDrive/olx_phones_dataset/images/phone_a5a07b42e2/8.jpg""]",8,2025-12-07 05:41:16.029881
