id,url,title,description,price,images,image_count,scraped_at
printer_48d13b75f7,https://www.olx.in/item/hard-disks-printers-monitors-c1509-hp-m24h-full-hd-ips-monitor-within-warranty-period-in-chakvrigu-balurghat-iid-1827013425,Hp M24h Full HD IPS Monitor within warranty period,"Hp 524sh Full HD IPS Monitor within warranty period & warranty claimed..all are new & very good condition...For sale - Hard Disks, Printers & Monitors",7500,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_48d13b75f7/8.jpg""]",8,2025-12-07 12:22:53.384931
printer_71825169a9,https://www.olx.in/item/hard-disks-printers-monitors-c1509-ups-branded-in-indirapuram-shipra-sun-city-ghaziabad-iid-1828592040,Ups branded,"Ups battery branded - Hard Disks, Printers & Monitors",800,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_71825169a9/8.jpg""]",8,2025-12-07 12:22:59.391165
printer_131c035ba2,https://www.olx.in/item/hard-disks-printers-monitors-c1509-clearance-sale-on-34-inch-acer-nitro-curved-gaming-monitor-ed343cur-x0-in-rt-nagar-bengaluru-iid-1827856105,Clearance Sale on 34 Inch Acer Nitro Curved Gaming Monitor ED343CUR X0,"• Quality Visuals: The Nitro EDA343CUR 34 Curved Display with QHD (3440 x 1440) resolution offers the sharpest picture quality and provides a perfect picture with a broader view. The zero-frame design does away with the thick frames found on conventional monitors freeing up precious screen space, so you have more to look at from edge to edge. • AMD Free Sync Premium Technology: Say “goodbye” to stuttering and tearing. With AMD Free Sync Premium, the monitor’s frames are synced with the graphics card’s frames, which eliminates screen tearing and provide the smoothest gaming experience. • Up to 120Hz Refresh Rate: The 120Hz refresh rate speeds up the frames per second to deliver ultra-smooth 2D scenes. With a rapid refresh rate of up to 120Hz, Acer Monitors shorten the time it takes for frame rendering, lower input lag and provide gamers an excellent in-game experience. • Responsive! Fast response time of 1ms enhanced gamers in-game experience. No matter the fast-moving action or any dramatic transitions will be all rendered smoothly without the annoying effects of smearing or ghosting. • Curved Screen: The 1000R curved 21:9 display wraps you in a world of entertainment with every corner of the screen at the same distance from your eyes for a uniform viewing experience without blind spots. Tilt the screen -5 to 15 degrees for the most comfortable view. • 34 UWQHD (3440 x 1440) 1000R Curved Widescreen Display AMD Free Sync Premium Technology • Refresh Rate: Up to 120Hz Response Time: 1ms (VRB) Pixel Pitch: 0.232mm Color Saturation: SRGB 99% • VESA mounting compliant (100 x 100mm) Zero-Frame Design 2 Speakers, 3 Watts per Speaker Ergonomic Tilt: -5° to 15° Ports: 2 x Display Port 1.2 & 2 x HDMI 2.0 Ports (Display Port Cable Included) - Hard Disks, Printers & Monitors",19999,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_131c035ba2/8.jpg""]",8,2025-12-07 12:23:06.123199
printer_cd5462bbcc,https://www.olx.in/item/hard-disks-printers-monitors-c1509-epson-l805-6-colour-printer-in-malad-west-mumbai-iid-1828590553,Epson L805 - 6-colour printer,"Printer in excellent condition, great for photo printing and colour projects. - Hard Disks, Printers & Monitors",12000,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_cd5462bbcc/8.jpg""]",8,2025-12-07 12:23:53.312786
printer_96203095e4,https://www.olx.in/item/hard-disks-printers-monitors-c1509-hard-disc-and-ram-in-rvs-nagar-coimbatore-iid-1828594213,Hard disc and Ram,"Hard disc and ram - Hard Disks, Printers & Monitors",300,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_96203095e4/8.jpg""]",8,2025-12-07 12:23:58.756666
printer_9f85200e3b,https://www.olx.in/item/hard-disks-printers-monitors-c1509-4-channel-nvr-cpplus-in-sector-124-mohali-iid-1828590689,4 channel NVR CPplus,"4channel nvr camera u can use two 8mp pixel camera , with motion detection, I need to go with 8 channel nvr - Hard Disks, Printers & Monitors",3000,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/8.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/9.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/10.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/11.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/12.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/13.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_9f85200e3b/14.jpg""]",14,2025-12-07 12:24:48.908691
printer_89e10cdcc7,https://www.olx.in/item/hard-disks-printers-monitors-c1509-hp-laserjet-m1136-in-sector-a-lucknow-iid-1828594783,Hp laserjet m1136,"cartridges Printer black and white - Hard Disks, Printers & Monitors",10000,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_89e10cdcc7/8.jpg""]",8,2025-12-07 12:27:02.408387
printer_7160b19bc2,https://www.olx.in/item/hard-disks-printers-monitors-c1509-canon-printer-mg2577s-in-madambakkam-tambaram-iid-1814547293,Canon printer MG2577S,"Canon printer in good working condition - Hard Disks, Printers & Monitors",2000,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_7160b19bc2/8.jpg""]",8,2025-12-07 12:27:07.567434
printer_eccecdbded,https://www.olx.in/item/hard-disks-printers-monitors-c1509-laser-jet-pro-m706n-perfectly-functional-for-sale-in-lawspet-puducherry-iid-1826207376,Laser Jet Pro M706n Perfectly Functional For Sale,"• Laser Jet Pro M706n High Quality Black and White Laser printer. • The printer is in GOOD CONDITION. • Full NEW cartridge is also included. - Hard Disks, Printers & Monitors",11000,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_eccecdbded/8.jpg""]",8,2025-12-07 12:30:08.278611
printer_66f0e01809,https://www.olx.in/item/hard-disks-printers-monitors-c1509-oxygen-concentrator-oc-02-in-sector-3-block-ga-bidhannagar-iid-1828590157,OXYGEN CONCENTRATOR OC-02,"oxygen concentrator(Dr . morepen) 5 liter..price can be reconsider according to the coustomer - Hard Disks, Printers & Monitors",12000,"[""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/1.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/2.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/3.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/4.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/5.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/6.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/7.jpg"", ""/content/drive/MyDrive/olx_printer_dataset/images/printer_66f0e01809/8.jpg""]",8,2025-12-07 12:31:37.927856
