id,url,title,description,price,images,image_count,scraped_at
tv_38b96465b8,https://www.olx.in/item/tvs-video-audio-c1523-led-wall-stand-in-avalahalli-bengaluru-iid-1828580842,Led wall stand,"Money problem - TVs, Video - Audio",800,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_38b96465b8/8.jpg""]",8,2025-12-07 10:05:26.925839
tv_84f2e4512d,https://www.olx.in/item/tvs-video-audio-c1523-led-tv-service-ur-door-steps-in-poonamallee-gorimedu-chennai-iid-1823007212,LED TV SERVICE UR DOOR STEPS,"NEW DISPLAY CHANGE VERY LOW PRICE - TVs, Video - Audio",500,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_84f2e4512d/8.jpg""]",8,2025-12-07 10:05:32.852609
tv_4fad235a66,https://www.olx.in/item/tvs-video-audio-c1523-philips-convertible-soundbar-mms8085b-21-channel-with-multiple-conne-in-faridpuri-delhi-iid-1778247071,"Philips Convertible Soundbar MMS8085B, 2.1 Channel with Multiple-Conne","Philips Convertible Soundbar MMS8085B, 2.1 Channel with Multiple-Connectivity Option,USB in, Bluetooth Connectivity 80 Watt (Black), Superior Sound Selling Price @5999/- Brand New Open Box and 1 yr Philips Warranty Below is the address where you can come and collect the product. Contact: - My Gadget Cart Plot no .148 Twenty Point Plots, Opp to CRPF CAMP, Mahila Battalion Gate Sector 8, Dwarka New Delhi - 110077 Google Maps - My Gadget Cart for location Timings - 9:30 AM to 6:30 PM (Mon to Sat) About this item EYE CATCHING DESIGN: Sleek yet sturdy built to add class to the area to be set..Bluetooth range: Line of sight, 10M or 30FT CONVERTIBLE SOUNDBAR: Being versatile, the soundbar can be placed horizontally or can stand on the floor, converting it into th Perfect multimedia tower speaker system., 80Watt CONNECTIVITY: The speaker system comes with multi-connectivity options like wireless streaming via BT and one can also use other inputs like USB, audio-in, 2RCA to 2RCA cable and SD card input. There is a built-in FM radio as well. MULTIMEDIA SPEAKERS: This multimedia speaker system can be used with Computers, Gaming Consoles, Televisions, Smartphones or Tablets, DVD Players or Music Players. SUBWOOFER: It comes with an elegant and convenient speaker-top volume and power control access. BASS: The Philips speakers provide good sound quality with a rich bass experience from a loudspeaker box system to enhance your listening experience. REMOTE CONTROL: Sit back, relax and take control of your entertainment with the press of a button on the remote control that comes along with it. - TVs, Video - Audio",5999,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_4fad235a66/8.jpg""]",8,2025-12-07 10:05:38.139352
tv_2996497a82,https://www.olx.in/item/tvs-video-audio-c1523-2-speakers-for-sale-in-khatipura-jaipur-iid-1825922387,2 speakers for sale,"2 speakers for music system is for the sale working fine just need to connect amplifier or sound system through the wire ... - TVs, Video - Audio",4000,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_2996497a82/8.jpg""]",8,2025-12-07 10:05:44.014864
tv_b9ce5c9d2d,https://www.olx.in/item/tvs-video-audio-c1523-colour-tv-lg-brand-sell-in-ranipur-haridwar-iid-1828580528,Colour TV LG brand sell,"Colour TV LG brand sell - TVs, Video - Audio",2000,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b9ce5c9d2d/8.jpg""]",8,2025-12-07 10:07:15.069442
tv_ab77a68ec4,https://www.olx.in/item/tvs-video-audio-c1523-nad-c-338-integrated-hi-fi-amplifier-in-ambalamukku-thiruvananthapuram-iid-1827198255,NAD C 338 Integrated Hi Fi Amplifier,"NAD C 338 Integrated Amplifier Hybrid Digital 50W x 2 continuous power into 8 or 4 ohms. Chromecast built in. - TVs, Video - Audio",85000,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_ab77a68ec4/8.jpg""]",8,2025-12-07 10:08:46.002779
tv_b92f66cdc8,https://www.olx.in/item/tvs-video-audio-c1523-sony-tv-21-inch-in-uruvachal-kannur-iid-1828580640,Sony TV 21 inch,"excellent sony TV 21 inch - TVs, Video - Audio",2500,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_b92f66cdc8/8.jpg""]",8,2025-12-07 10:08:52.688445
tv_17c99f408a,https://www.olx.in/item/tvs-video-audio-c1523-50-inch-4k-led-tv-in-sewa-nagar-ghaziabad-iid-1827145487,50 inch 4k led tv,"Selling hyundai 50 inch led tv in just 15k. Led tv is working fine and no need to spent any single rupee on this led tv. If someone really want to purchase it then he/she can contact with me. Thanks - TVs, Video - Audio",15998,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_17c99f408a/8.jpg""]",8,2025-12-07 10:08:58.431367
tv_31ea973659,https://www.olx.in/item/tvs-video-audio-c1523-new-bluetooth-speaker-mic-is-ready-for-sale-in-msr-manalmedu-iid-1828580584,New Bluetooth speaker & mic is ready for sale,"This is new speaker&I would like sell this one due to moveing home town - TVs, Video - Audio",1000,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_31ea973659/8.jpg""]",8,2025-12-07 10:11:10.682839
tv_014971fec9,https://www.olx.in/item/tvs-video-audio-c1523-sonny-good-condition-in-revenue-colony-tiruchanur-iid-1828580612,Sonny good condition,"Mani arjent - TVs, Video - Audio",35000,"[""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/1.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/2.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/3.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/4.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/5.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/6.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/7.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/8.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/9.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/10.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/11.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/12.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/13.jpg"", ""/content/drive/MyDrive/olx_tv_dataset/images/tv_014971fec9/14.jpg""]",14,2025-12-07 10:11:19.188211
