id,url,title,description,price,images,image_count,scraped_at
washmachine_fd72214588,https://www.olx.in/item/washing-machines-c1615-whirlpool-fully-automatic-washing-machine-in-bejai-mangaluru-iid-1828728030,Whirlpool Fully Automatic Washing Machine,Very Good condition No complaints 3 years of warranty left Slightly negotiable - Washing Machines,11000,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fd72214588/8.jpg""]",8,2025-12-09 04:27:23.720045
washmachine_49a2c8ab90,https://www.olx.in/item/washing-machines-c1615-semi-automatic-washing-machine-in-old-guddadahalli-bengaluru-iid-1828728996,Semi automatic washing machine,Well conditioned semi automatic washing both tubs r working - Washing Machines,2000,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_49a2c8ab90/8.jpg""]",8,2025-12-09 04:27:30.422380
washmachine_eec3214c18,https://www.olx.in/item/washing-machines-c1615-whirlpool-8-kg-5-star-fully-automatic-top-load-washing-stainwash-pro-in-ramnagar-bilaspur-rampur-district-iid-1827488423,Whirlpool 8 KG 5 Star Fully Automatic Top Load Washing  Stainwash Pro,New whoshing masine - Washing Machines,18000,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_eec3214c18/8.jpg""]",8,2025-12-09 04:28:59.317729
washmachine_ca017dc063,https://www.olx.in/item/washing-machines-c1615-rent-on-rent-in-nigdi-pune-iid-1824522885,Rent on Rent,Fridge &washing machine combo 900 Deposit 2499 Single fridge and washing machine 500 Deposit 1499 only Free installation Free maintenance Transportation free one side - Washing Machines,449,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca017dc063/8.jpg""]",8,2025-12-09 04:31:14.341862
washmachine_fbe11df0f9,https://www.olx.in/item/washing-machines-c1615-fully-automatic-washing-machines-on-monthly-rent-at-just-500-per-mnth-in-sector-43-gurgaon-iid-1809600756,Fully automatic washing machines on monthly rent at just 500 per mnth,Get latest fully automatic top load washing Machines on monthly rent at just rs 500 per month only with Free home delivery Free inlet outlet pipes Free installation on compatible tap Free repair and maintenance Free relocation No kyc Instant delivery Call for more details - Washing Machines,500,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_fbe11df0f9/8.jpg""]",8,2025-12-09 04:32:51.804407
washmachine_ca74b5c9b1,https://www.olx.in/item/washing-machines-c1615-ifb-washing-machine-in-karmchari-nagar-ahmedabad-iid-1828729954,IFB washing machine,Front load fully automatic - Washing Machines,8000,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_ca74b5c9b1/8.jpg""]",8,2025-12-09 04:32:59.597071
washmachine_f72c3b1dd8,https://www.olx.in/item/washing-machines-c1615-rent-on-rent-in-gokhale-nagar-pune-iid-1826114183,Rent on Rent,Fridge and washing machine combo 900 Deposit 2500 Only fridge and washing machine 500 Deposit 1500 Free installation Free maintenance Free transportation one side 6 months locking period - Washing Machines,450,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_f72c3b1dd8/8.jpg""]",8,2025-12-09 04:33:48.375074
washmachine_448282784e,https://www.olx.in/item/washing-machines-c1615-lg-washing-machine-working-properly-75-kg-in-manesar-sector-3a-gurgaon-iid-1828730474,Lg washing machine working properly 7.5 kg,2 month old - Washing Machines,5000,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/8.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/9.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/10.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/11.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/12.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/13.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_448282784e/14.jpg""]",14,2025-12-09 04:37:01.134250
washmachine_7869680be4,https://www.olx.in/item/washing-machines-c1615-washing-machine-in-mira-nagar-udaipur-iid-1828729713,Washing machine,I want to sell machine - Washing Machines,4000,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_7869680be4/8.jpg""]",8,2025-12-09 04:37:07.774638
washmachine_76718f9fe4,https://www.olx.in/item/washing-machines-c1615-godrej-washing-machine-in-manjummel-kochi-iid-1828729221,Godrej washing machine,Washing machine - Washing Machines,8000,"[""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/1.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/2.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/3.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/4.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/5.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/6.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/7.jpg"", ""/content/drive/MyDrive/olx_washingmachine_dataset/images/washmachine_76718f9fe4/8.jpg""]",8,2025-12-09 04:37:15.362049
